date,close_price
01-01-2020,77.3775
01-02-2020,68.34
01-03-2020,63.5725
01-04-2020,73.45
01-05-2020,79.485
01-06-2020,91.2
01-07-2020,106.26
01-08-2020,129.04
01-09-2020,115.81
01-10-2020,108.86
01-11-2020,119.05
01-12-2020,132.69
